global_step,train_loss
1,0.7344968914985657
2,0.7115010619163513
3,0.7522445321083069
4,0.7277253866195679
5,0.7243086099624634
6,0.735188901424408
7,0.7326931953430176
8,0.7433933615684509
9,0.7300923466682434
10,0.7327675819396973
11,0.7346165180206299
12,0.7018629312515259
13,0.7100975513458252
14,0.7182503342628479
15,0.7343133091926575
16,0.729211151599884
17,0.7172462940216064
18,0.7249163389205933
19,0.7440600991249084
20,0.726291835308075
21,0.7366459369659424
22,0.7022974491119385
23,0.7172637581825256
24,0.7070805430412292
25,0.7221149802207947
26,0.7178006172180176
27,0.6850558519363403
28,0.7370325326919556
29,0.7080666422843933
30,0.6980888843536377
31,0.701612651348114
32,0.7107693552970886
33,0.7214266657829285
34,0.7004443407058716
35,0.7111194133758545
36,0.7027478814125061
37,0.6972747445106506
38,0.708544909954071
39,0.7175285816192627
40,0.705750584602356
41,0.715334415435791
42,0.7013015151023865
43,0.701675295829773
44,0.6945703625679016
45,0.6849298477172852
46,0.6986827254295349
47,0.6906427145004272
48,0.6713913083076477
49,0.6678000092506409
50,0.6851480603218079
51,0.6910030841827393
52,0.6610796451568604
53,0.6804993748664856
54,0.6879316568374634
55,0.6576102375984192
56,0.6878110766410828
57,0.6843788623809814
58,0.658225953578949
59,0.6663904786109924
60,0.6674161553382874
61,0.646531343460083
62,0.6408542394638062
63,0.6612408757209778
64,0.6796802878379822
65,0.6415354013442993
66,0.6644866466522217
67,0.6349884271621704
68,0.5947387218475342
69,0.6577960848808289
70,0.6507307887077332
71,0.6759627461433411
72,0.6367620825767517
73,0.6829756498336792
74,0.6390743851661682
75,0.6255905628204346
76,0.6911486387252808
77,0.6602545976638794
78,0.6831530928611755
79,0.6382695436477661
80,0.6087583899497986
81,0.7104950547218323
82,0.5917070508003235
83,0.7353478670120239
84,0.615179717540741
85,0.6060815453529358
86,0.5571765303611755
87,0.6674171090126038
88,0.519907534122467
89,0.6084477305412292
90,0.5590816736221313
91,0.6307580471038818
92,0.622209370136261
93,0.5489064455032349
94,0.6353877186775208
95,0.6226932406425476
96,0.5216000080108643
97,0.5812633633613586
98,0.5904638171195984
